index,unemployment
1,0.051
2,0.049
3,0.047
4,0.065
5,0.085
6,0.059
7,0.117
8,0.141
9,0.050257988
10,0.049153573
11,0.046214445
12,0.063122356
13,0.089076029
14,0.059025705
15,0.121758254
16,0.150345118
17,0.049542898
18,0.04856909
19,0.045978267
20,0.062849551
21,0.086412097
22,0.057883652
23,0.118113859
24,0.1464413
25,0.047598032
26,0.045558159
27,0.042803792
28,0.06110302
29,0.082515012
30,0.055850731
31,0.116128849
32,0.145961332
33,0.047497105
34,0.046259684
35,0.042935445
36,0.060461098
37,0.084390461
38,0.056390039
39,0.118320503
40,0.148338744
41,0.0447321
42,0.04254948
43,0.03967882
44,0.05719248
45,0.07906922
46,0.05243231
47,0.11027505
48,0.14220008
49,0.0447321
50,0.04254948
51,0.03967882
52,0.05719248
53,0.07906922
54,0.05243231
55,0.11027505
56,0.14220008
57,0.051193989
58,0.049781523
59,0.046524396
60,0.061778158
61,0.084465748
62,0.057206538
63,0.117380099
64,0.144593245
65,0.045529427
66,0.044126612
67,0.041380044
68,0.056544196
69,0.078861485
70,0.051242511
71,0.110833216
72,0.137256258
73,0.040609137
74,0.037732628
75,0.035082469
76,0.049263132
77,0.068392168
78,0.044292985
79,0.098983203
80,0.120218389
